subject_id,question,code,data_1,transcription_old,transcription_new,audio,d,c,data_2,Age,Gender,Household Income,Familiar
1,1,Incorrect,Seven,seven., Seven.,https://app.phonic.ai/play/5e90b107e77a5fea187b48d9,I,I,2,24.0,female,10-25k,
1,2,Reflect,Second,you second., Second,https://app.phonic.ai/play/5e90b11de77a5fea187b48e8,N,N,2,24.0,female,10-25k,
1,3,Reflect,You don’t bury survivors,That's a story tonight in the burned itself stronger since. Been in question me Go home.," It's a stormy night and plenty of stuff, I'm just gonna get it. Stormy listens to pain crashes onto you.",https://app.phonic.ai/play/5e90b13be77a5fea187b48f9,N,N,2,24.0,female,10-25k,
1,4,Other,Don’t know,seriously in a federation country  you will get the manifest  the monkey. That's going a bit you don't know.," Who will get the banana first? The monkey, the squirrel or the bird? You don't know.",https://app.phonic.ai/play/5e90b151e77a5fea187b4904,N,N,2,24.0,female,10-25k,
1,5,Reflect,No stairs,I wanted everything. I think the problem is you've been close with this one story. Don't have stairs.," One story pink house, pink chair, pink house, pink chair, pink house, pink club with the stairs. One stories don't have stairs.",https://app.phonic.ai/play/5e90b169e77a5fea187b4917,N,Y,2,24.0,female,10-25k,
1,6,Reflect,,Moses? No. Yeah  I know.," What did Moses put on the ark? No, the ark was no.",https://app.phonic.ai/play/5e90b176e77a5fea187b4921,N,Y,2,24.0,female,10-25k,
1,7,Reflect,There’s no smoke,women both West and nutrition  Electric train and Eastern. Which cardinal direction does the smoke from the locomotive  the reason and you?, The wind goes west and the electric train runs east in which Cardinal Direction does the smoke from the locomotive go. There isn't. There's a new smoke.,https://app.phonic.ai/play/5e90b190e415d4a16cef50ab,N,N,2,24.0,female,10-25k,
1,8,Reflect,The match,if you grew me  If you happen for lucky working your company that much.," If you have only one mark in your work, it's a great deal.",https://app.phonic.ai/play/5e90b1a5e415d4a16cef50b2,N,N,2,24.0,female,10-25k,
1,9,Lure,Yes,we have  like over a month by the sister of his widow is too., We have to call for a man to marry the sister of his widow.,https://app.phonic.ai/play/5e90b1bce77a5fea187b494c,N,N,1,24.0,female,10-25k,
1,10,Lure,A,with a look of the egg boy told the York you the, The jok of the egg is white.,https://app.phonic.ai/play/5e90b1d1e77a5fea187b4958,N,N,2,24.0,female,10-25k,
2,1,Lure,Nunu,Mary's fighter has five daughters  but no sons manner. You need any? No  no. Was 2 $50 name? Probably you knew.," Mary's father has five daughters but no sons. Nana, Nini, Nini, Nono, what is the fifth daughter's name probably? Nunu?",https://app.phonic.ai/play/5e90ae1ae415d4a16cef5006,N,N,1,42.0,male,25-50k,
2,2,Reflect,2nd place,If you were running a race and you passed the person in second place  what place would you be in? No has taken place.," If you were running a race and you passed the person in second place, what place would you be in now? Second place.",https://app.phonic.ai/play/5e90ae3ae415d4a16cef5011,N,N,1,42.0,male,25-50k,
2,3,Lure,Depends on the nationality of the survivors,okay. It's a stormy night on the plane. Takes off from JFK Airport to New York. Storm worsens and playing crashes. Crash Have friends in the United States. And you're our friends in Canada. In which country do you bury? Two survivors. Am I supposed to pins on the nationality of each individual survivor?, It's a stormy night and a plane takes off from JFK Airport to New York. The stormers and the plane crash half-lens in the United States and the other half-lens in Canada. In which country do you bury the survivors? I suppose it depends on the nationality of each individual survivor.,https://app.phonic.ai/play/5e90ae74e415d4a16cef501f,N,Y,1,42.0,male,25-50k,
2,4,Other,I don't know,a monkey  a squirrel and a bird are racing to the top of a coconut tree. Who would get the banana first? A monkey to square heard bird. And I'm not really sure. Um I'm not sure birds eat bananas  huh? I don't really know.," A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first? The monkey, the squirrel or the bird? I'm not really sure. I'm not sure birds eat bananas. I don't really know.",https://app.phonic.ai/play/5e90aeb1e415d4a16cef502c,N,Y,1,42.0,male,25-50k,
2,5,Reflect,No stairs,in a one story pink coast was a big person. The pink cast pink fish in computer  pink chair and table. The pink telephone. Ensure everything was pink. Walk all over the stairs  probably ham. If everything was pink  I imagine the stairs were probably  think away. Dax leaders. It's a one story holsters and oysters.," In a one-story pink house, there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink. What color were the stairs? Probably. If everything was pink, I imagine the stairs were probably pink. Oh wait, actually, it's a one-story house. There's no stairs.",https://app.phonic.ai/play/5e90aee9e77a5fea187b482d,Y,Y,1,42.0,male,25-50k,
2,6,Lure,2 of each animal,how many of each animal Moses put on the Ark  a two of each animal., How many of each animal did Moses put on the ark? Two of each animal.,https://app.phonic.ai/play/5e90af09e77a5fea187b4842,N,N,1,42.0,male,25-50k,
2,7,Reflect,Electric train  no smoke,what the wind blows. West Electric Train runs east  in which cardinal direction does the smoke from the locomotive blow. It's electric train  so does no small.," The wind blows west, an electric train runs east, in which cardinal direction does the smoke from the locomotive blow? It's an electric train, so there's no smoke.",https://app.phonic.ai/play/5e90af31e77a5fea187b4850,N,Y,2,42.0,male,25-50k,
2,8,Reflect,The match,if you have only one match and you walk into a dark room herder is an oil lamp and newspaper and wood. Which thing would you like first? You like the match first?," If you have only one match and you walk into a dark room where there is an oil lamp and newspaper and wood, which thing would you like first? You'd like the match first.",https://app.phonic.ai/play/5e90af4ae77a5fea187b485f,N,N,2,42.0,male,25-50k,
2,9,Lure,It depends,wouldn't be ethical for men to marry the sister of his widow. And I don't really know. Um  you're not relatives. Um  so I'm not really sure whether it's edit. Learn us. Um  t depends.," Would it be ethical for a man to marry the sister of his widow? I don't really know. They're not blood relatives, so I'm not really sure whether it's ethical or not. It depends.",https://app.phonic.ai/play/5e90af77e415d4a16cef504e,N,Y,1,42.0,male,25-50k,
2,10,Lure,B,which sentences correct a yolk of the egg or a voice or B the yolk of the egg. His voice  I think be deal of Diego's voice and exposed because yolk of the egg  our voice would've be for eggs. Plural vers de yolk of the egg is voices for egg singular., Which sentence is correct? A. The yolk and the egg are wise or B. The yolk of the egg is wise. I think B. The yolk of the egg is white. I suppose because the yoke of the egg are white would be for eggs plural whereas the yoke of the egg is white is for eggs singular.,https://app.phonic.ai/play/5e90afaee77a5fea187b4877,N,Y,1,42.0,male,25-50k,
3,1,Reflect,Mary,Mary father has five daughters but no sons. Mary's father's five daughters but no sense Namur  Nina mean me? No  no. What is the fifth daughter's name? Probably please remember to read aloud and say Everything that comes to mind. Microphone is already recorded. Speak through your thoughts on Mary's father has five daughters  but no sons. Not many. Maybe. What is the fifth daughter's name? Probably  um  married father of five daughters  huh? Four for them  Some speed. Mallory. It's the way responses and met me.," Mary's father has five daughters but no sons. Mary's father has five daughters but no sons. Nana? Nina? Nene? No, no. What is the fifth daughter's name probably? Please remember to read aloud and say everything that comes to mind microphone is already recorded speak through your thoughts so mary's father has five daughters but no sons nana nini nini no no what is the fifth daughter's name probably daughters four of them so it must be Mary",https://app.phonic.ai/play/5e90ad00e77a5fea187b476d,N,Y,2,53.0,male,75-100k,
3,2,Reflect,Second,Okay  So if I was running a race  a new pass  a person  it's second place. What place with Joon? I'll be in. So I would not be in second place because the person was in second place. I've passed them on Bess. I passed them going backwards and I was first. Now I think it's presumably on every second.," Okay, so if I was running a race and you passed the person in second place, what place would you now be in? So I would now be in second place because the person that was in second place I've passed them unless I pass them going backwards and I was first now I think it's presumably I'll now be second",https://app.phonic.ai/play/5e90ad45e415d4a16cef4fc7,Y,Y,1,53.0,male,75-100k,
3,3,Lure,Where they are from,is a stormy night on the plane takes off from JFK Airport  New York. The storm worsens and the plane crashes. Half lands in the United States. The ever lines in Canada. Which country do you bury? Survivors Don't forget to keep reading and thinking aloud. I think it would be wherever they're from. They would get buried as opposed to anything to do with where the plane took off from all the plane crashed.," It's a stormy night and a plane takes off from JFK Airport in New York. The storm worsens and the plane crashes. Half lands in the United States, the other half lands in Canada. In which country do you bury the survivors? Don't forget to keep reading and thinking aloud. I think it would be wherever they are from they would get buried as opposed to anything to do with where the plane took off from or the plane crashed Thank you.",https://app.phonic.ai/play/5e90ad92e415d4a16cef4fdf,N,Y,1,53.0,male,75-100k,
