"question_text","correct_answer","lured_answer","chunk_text"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","One-storey house, might it have stairs for anything?"
"How many of each animal did Moses put on the ark?","Cannot answer","Two","Halfway done, don't forget to keep reading and thinking aloud."
"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?","Match","Oil lamp / Newspaper / Wood","Oh, well, no."
"If you were running a race, and you passed the person in 2nd place, what place would you be in now?","2nd","1st","Since, wait, they've passed the person's second, but they haven't passed the person first, okay, second."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Probably Nunu, but considering it says Mary, I would guess that the daughter's name would actually be Mary."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","I wouldn't say so, but..."
"The wind blows west. An electric train runs east. In which direction does the smoke blow?","No smoke","West","The smoke goes west, like in the way the wind blows."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","It's a stormy night and the plane takes off from JFK Airport in New York. Storms worsens. The storm worsens and the plane crashes half. Lands in the United States. The other half lands in Canada."
"It’s a stormy night and a plane crashes - in which country do you bury the survivors?","Don't bury survivors","Burial location","Survivors will be alive so no need to be buried."
"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?","No banana on coconut tree","Any animal","Is this irrelevant because it's a coconut tree?"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","I want to say pink, but is that a trick question?"
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","No stairs."
"In a one-storey pink house with everything pink, what colour were the stairs probably?","No stairs","Pink","It's a one-story house, so there's not going to be any stairs."
"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?","Mary","Nunu","Well, no, no."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Wait. Of his widow. Yeah. That would be horrible. Of his widow."
"Would it be ethical for a man to marry the sister of his widow?","Not possible","Yes / No","Wouldn't he be the widow if I saw that the person who is left in the marriage would be the widow, not the person who died."
"How many of each animal did Moses put on the ark?","Cannot answer","Two","I'm just trying to think if this is a trick question in any way, kind of like the survivors being buried."
