subject_id,question,question_text,correct_answer,lured_answer,response,response_text,transcription_old,transcription_new,word_segments,audio_url,mp3_path,reconsidered_initial_resp,verbalized_reasons,lure_consideration,ethnicity,age,gender,household_income,familiar
1,1,"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?",Mary,Nunu,Incorrect,Seven,seven., Seven.,"[{""word"": ""Seven."", ""start"": 4.739, ""end"": 5.2, ""score"": 0.825}]",https://app.phonic.ai/play/5e90b107e77a5fea187b48d9,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b107e77a5fea187b48d9-0.mp3,I,I,0,White,24.0,female,10-25k,0
1,2,"If you were running a race, and you passed the person in 2nd place, what place would you be in now?",2nd,1st,Reflect,Second,you second., If you've already... I've really seen you pass the person... Second.,"[{""word"": ""If"", ""start"": 0.031, ""end"": 0.212, ""score"": 0.823}, {""word"": ""you've"", ""start"": 0.273, ""end"": 0.595, ""score"": 0.23}, {""word"": ""already..."", ""start"": 0.615, ""end"": 0.877, ""score"": 0.511}, {""word"": ""I've"", ""start"": 1.098, ""end"": 1.702, ""score"": 0.601}, {""word"": ""really"", ""start"": 1.924, ""end"": 2.246, ""score"": 0.323}, {""word"": ""seen"", ""start"": 2.306, ""end"": 2.447, ""score"": 0.428}, {""word"": ""you"", ""start"": 2.467, ""end"": 2.568, ""score"": 0.136}, {""word"": ""pass"", ""start"": 2.588, ""end"": 2.83, ""score"": 0.482}, {""word"": ""the"", ""start"": 2.85, ""end"": 2.91, ""score"": 0.016}, {""word"": ""person..."", ""start"": 2.931, ""end"": 5.568, ""score"": 0.792}, {""word"": ""Second."", ""start"": 5.588, ""end"": 5.991, ""score"": 0.847}]",https://app.phonic.ai/play/5e90b11de77a5fea187b48e8,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b11de77a5fea187b48e8-0.mp3,0,0,0,White,24.0,female,10-25k,0
1,3,It’s a stormy night and a plane crashes - in which country do you bury the survivors?,Don't bury survivors,Burial location,Reflect,You don‚Äôt bury survivors,That's a story tonight in the burned itself stronger since. Been in question me Go home.," It's a stormy night and plenty of suffering, do you have to get it? Stormy listens and fan crushes on tears. Dawn.","[{""word"": ""It's"", ""start"": 0.031, ""end"": 0.493, ""score"": 0.194}, {""word"": ""a"", ""start"": 0.513, ""end"": 0.573, ""score"": 0.675}, {""word"": ""stormy"", ""start"": 0.593, ""end"": 0.954, ""score"": 0.822}, {""word"": ""night"", ""start"": 0.994, ""end"": 1.255, ""score"": 0.338}, {""word"": ""and"", ""start"": 1.275, ""end"": 1.335, ""score"": 0.221}, {""word"": ""plenty"", ""start"": 1.456, ""end"": 1.777, ""score"": 0.637}, {""word"": ""of"", ""start"": 1.857, ""end"": 1.897, ""score"": 0.018}, {""word"": ""suffering,"", ""start"": 1.917, ""end"": 2.319, ""score"": 0.476}, {""word"": ""do"", ""start"": 2.339, ""end"": 2.6, ""score"": 0.72}, {""word"": ""you"", ""start"": 2.62, ""end"": 2.68, ""score"": 0.09}, {""word"": ""have"", ""start"": 2.7, ""end"": 2.78, ""score"": 0.038}, {""word"": ""to"", ""start"": 2.8, ""end"": 2.84, ""score"": 0.001}, {""word"": ""get"", ""start"": 2.86, ""end"": 2.921, ""score"": 0.312}, {""word"": ""it?"", ""start"": 3.804, ""end"": 3.864, ""score"": 0.001}, {""word"": ""Stormy"", ""start"": 3.884, ""end"": 4.205, ""score"": 0.519}, {""word"": ""listens"", ""start"": 4.225, ""end"": 4.526, ""score"": 0.7}, {""word"": ""and"", ""start"": 4.666, ""end"": 4.767, ""score"": 0.468}, {""word"": ""fan"", ""start"": 4.787, ""end"": 4.847, ""score"": 0.011}, {""word"": ""crushes"", ""start"": 4.867, ""end"": 5.208, ""score"": 0.602}, {""word"": ""on"", ""start"": 5.288, ""end"": 5.389, ""score"": 0.672}, {""word"": ""tears."", ""start"": 5.429, ""end"": 5.85, ""score"": 0.83}, {""word"": ""Dawn."", ""start"": 12.533, ""end"": 12.994, ""score"": 0.616}]",https://app.phonic.ai/play/5e90b13be77a5fea187b48f9,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b13be77a5fea187b48f9-0.mp3,0,0,0,White,24.0,female,10-25k,0
1,4,"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?",No banana on coconut tree,Any animal,Other,Don‚Äôt know,seriously in a federation country  you will get the manifest  the monkey. That's going a bit you don't know.," The monkey, the squirrel or the bird? You don't know.","[{""word"": ""The"", ""start"": 0.031, ""end"": 1.054, ""score"": 0.424}, {""word"": ""monkey,"", ""start"": 1.214, ""end"": 2.378, ""score"": 0.476}, {""word"": ""the"", ""start"": 3.421, ""end"": 3.501, ""score"": 0.986}, {""word"": ""squirrel"", ""start"": 4.003, ""end"": 4.243, ""score"": 0.359}, {""word"": ""or"", ""start"": 4.263, ""end"": 4.324, ""score"": 0.564}, {""word"": ""the"", ""start"": 4.344, ""end"": 4.424, ""score"": 0.674}, {""word"": ""bird?"", ""start"": 4.464, ""end"": 4.825, ""score"": 0.946}, {""word"": ""You"", ""start"": 8.215, ""end"": 8.375, ""score"": 0.847}, {""word"": ""don't"", ""start"": 8.736, ""end"": 8.957, ""score"": 0.876}, {""word"": ""know."", ""start"": 9.057, ""end"": 10.682, ""score"": 0.879}]",https://app.phonic.ai/play/5e90b151e77a5fea187b4904,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b151e77a5fea187b4904-0.mp3,0,0,0,White,24.0,female,10-25k,0
1,5,"In a one-storey pink house with everything pink, what colour were the stairs probably?",No stairs,Pink,Reflect,No stairs,I wanted everything. I think the problem is you've been close with this one story. Don't have stairs., And one-story pink has a pink chair. One-story don't have stairs.,"[{""word"": ""And"", ""start"": 0.031, ""end"": 0.191, ""score"": 0.261}, {""word"": ""one-story"", ""start"": 0.211, ""end"": 0.672, ""score"": 0.773}, {""word"": ""pink"", ""start"": 0.713, ""end"": 1.154, ""score"": 0.841}, {""word"": ""has"", ""start"": 2.356, ""end"": 2.537, ""score"": 0.503}, {""word"": ""a"", ""start"": 2.777, ""end"": 2.958, ""score"": 0.696}, {""word"": ""pink"", ""start"": 3.739, ""end"": 5.403, ""score"": 0.571}, {""word"": ""chair."", ""start"": 5.964, ""end"": 6.405, ""score"": 0.645}, {""word"": ""One-story"", ""start"": 11.276, ""end"": 11.817, ""score"": 0.778}, {""word"": ""don't"", ""start"": 11.858, ""end"": 12.058, ""score"": 0.606}, {""word"": ""have"", ""start"": 12.118, ""end"": 12.319, ""score"": 0.568}, {""word"": ""stairs."", ""start"": 12.339, ""end"": 12.96, ""score"": 0.828}]",https://app.phonic.ai/play/5e90b169e77a5fea187b4917,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b169e77a5fea187b4917-0.mp3,0,1,0,White,24.0,female,10-25k,0
1,6,How many of each animal did Moses put on the ark?,None,Two,Reflect,,Moses? No. Yeah  I know.," What did Moses put on the ark? No, the ark was not.","[{""word"": ""What"", ""start"": 0.031, ""end"": 0.8, ""score"": 0.691}, {""word"": ""did"", ""start"": 0.901, ""end"": 1.063, ""score"": 0.952}, {""word"": ""Moses"", ""start"": 1.123, ""end"": 1.508, ""score"": 0.925}, {""word"": ""put"", ""start"": 1.77, ""end"": 1.831, ""score"": 0.0}, {""word"": ""on"", ""start"": 1.851, ""end"": 1.932, ""score"": 0.824}, {""word"": ""the"", ""start"": 1.953, ""end"": 2.054, ""score"": 0.683}, {""word"": ""ark?"", ""start"": 2.215, ""end"": 2.499, ""score"": 0.744}, {""word"": ""No,"", ""start"": 4.097, ""end"": 4.4, ""score"": 0.887}, {""word"": ""the"", ""start"": 5.169, ""end"": 5.27, ""score"": 0.925}, {""word"": ""ark"", ""start"": 5.33, ""end"": 5.512, ""score"": 0.783}, {""word"": ""was"", ""start"": 5.553, ""end"": 5.654, ""score"": 0.894}, {""word"": ""not."", ""start"": 5.715, ""end"": 5.856, ""score"": 0.629}]",https://app.phonic.ai/play/5e90b176e77a5fea187b4921,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b176e77a5fea187b4921-0.mp3,0,1,0,White,24.0,female,10-25k,0
1,7,The wind blows west. An electric train runs east. In which direction does the smoke blow?,No smoke,West,Reflect,There‚Äôs no smoke,women both West and nutrition  Electric train and Eastern. Which cardinal direction does the smoke from the locomotive  the reason and you?," The wind goes west, an electric train runs east. In which cardinal direction does the smoke from the locomotive go? There isn't. There's a new smoke.","[{""word"": ""The"", ""start"": 1.027, ""end"": 1.348, ""score"": 0.483}, {""word"": ""wind"", ""start"": 1.368, ""end"": 1.729, ""score"": 0.852}, {""word"": ""goes"", ""start"": 1.749, ""end"": 1.969, ""score"": 0.712}, {""word"": ""west,"", ""start"": 2.009, ""end"": 2.41, ""score"": 0.792}, {""word"": ""an"", ""start"": 2.43, ""end"": 2.51, ""score"": 0.702}, {""word"": ""electric"", ""start"": 2.611, ""end"": 4.114, ""score"": 0.766}, {""word"": ""train"", ""start"": 4.174, ""end"": 4.515, ""score"": 0.543}, {""word"": ""runs"", ""start"": 4.535, ""end"": 4.675, ""score"": 0.526}, {""word"": ""east."", ""start"": 4.796, ""end"": 5.056, ""score"": 0.718}, {""word"": ""In"", ""start"": 5.076, ""end"": 5.136, ""score"": 0.942}, {""word"": ""which"", ""start"": 5.176, ""end"": 5.297, ""score"": 0.982}, {""word"": ""cardinal"", ""start"": 5.377, ""end"": 5.718, ""score"": 0.908}, {""word"": ""direction"", ""start"": 5.758, ""end"": 6.339, ""score"": 0.924}, {""word"": ""does"", ""start"": 6.379, ""end"": 6.479, ""score"": 0.471}, {""word"": ""the"", ""start"": 6.519, ""end"": 6.62, ""score"": 0.944}, {""word"": ""smoke"", ""start"": 6.66, ""end"": 7.001, ""score"": 0.747}, {""word"": ""from"", ""start"": 7.081, ""end"": 7.301, ""score"": 0.626}, {""word"": ""the"", ""start"": 7.321, ""end"": 7.442, ""score"": 0.835}, {""word"": ""locomotive"", ""start"": 7.482, ""end"": 8.283, ""score"": 0.696}, {""word"": ""go?"", ""start"": 8.464, ""end"": 10.649, ""score"": 0.904}, {""word"": ""There"", ""start"": 10.669, ""end"": 10.809, ""score"": 0.867}, {""word"": ""isn't."", ""start"": 10.869, ""end"": 11.25, ""score"": 0.795}, {""word"": ""There's"", ""start"": 12.934, ""end"": 13.074, ""score"": 0.117}, {""word"": ""a"", ""start"": 13.696, ""end"": 13.716, ""score"": 0.007}, {""word"": ""new"", ""start"": 13.736, ""end"": 14.237, ""score"": 0.556}, {""word"": ""smoke."", ""start"": 14.257, ""end"": 14.698, ""score"": 0.202}]",https://app.phonic.ai/play/5e90b190e415d4a16cef50ab,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b190e415d4a16cef50ab-0.mp3,0,0,0,White,24.0,female,10-25k,0
1,8,"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?",Match,Oil lamp / Newspaper / Wood,Reflect,The match,if you grew me  If you happen for lucky working your company that much., If you have only one mark when you walk in the darkroom.,"[{""word"": ""If"", ""start"": 0.031, ""end"": 0.231, ""score"": 0.79}, {""word"": ""you"", ""start"": 0.292, ""end"": 0.392, ""score"": 0.82}, {""word"": ""have"", ""start"": 0.512, ""end"": 0.592, ""score"": 0.249}, {""word"": ""only"", ""start"": 0.652, ""end"": 0.893, ""score"": 0.831}, {""word"": ""one"", ""start"": 0.913, ""end"": 0.973, ""score"": 0.332}, {""word"": ""mark"", ""start"": 3.459, ""end"": 3.7, ""score"": 0.57}, {""word"": ""when"", ""start"": 3.74, ""end"": 3.86, ""score"": 0.613}, {""word"": ""you"", ""start"": 3.88, ""end"": 4.0, ""score"": 0.857}, {""word"": ""walk"", ""start"": 4.04, ""end"": 4.221, ""score"": 0.853}, {""word"": ""in"", ""start"": 4.301, ""end"": 4.361, ""score"": 0.949}, {""word"": ""the"", ""start"": 4.381, ""end"": 4.461, ""score"": 0.772}, {""word"": ""darkroom."", ""start"": 4.481, ""end"": 10.716, ""score"": 0.662}]",https://app.phonic.ai/play/5e90b1a5e415d4a16cef50b2,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b1a5e415d4a16cef50b2-0.mp3,0,0,0,White,24.0,female,10-25k,0
1,9,Would it be ethical for a man to marry the sister of his widow?,Not possible,Yes / No,Lure,Yes,we have  like over a month by the sister of his widow is too.," If I go for Montemarie, the sister of his widow. Montemarie. Sister.","[{""word"": ""If"", ""start"": 0.031, ""end"": 0.292, ""score"": 0.358}, {""word"": ""I"", ""start"": 0.313, ""end"": 0.353, ""score"": 0.435}, {""word"": ""go"", ""start"": 0.433, ""end"": 0.514, ""score"": 0.698}, {""word"": ""for"", ""start"": 0.534, ""end"": 0.675, ""score"": 0.689}, {""word"": ""Montemarie,"", ""start"": 0.695, ""end"": 1.198, ""score"": 0.578}, {""word"": ""the"", ""start"": 1.218, ""end"": 1.298, ""score"": 0.993}, {""word"": ""sister"", ""start"": 1.399, ""end"": 1.801, ""score"": 0.909}, {""word"": ""of"", ""start"": 1.942, ""end"": 2.002, ""score"": 0.995}, {""word"": ""his"", ""start"": 2.082, ""end"": 2.243, ""score"": 0.742}, {""word"": ""widow."", ""start"": 2.344, ""end"": 2.686, ""score"": 0.978}, {""word"": ""Montemarie."", ""start"": 3.913, ""end"": 6.849, ""score"": 0.409}, {""word"": ""Sister."", ""start"": 6.869, ""end"": 7.915, ""score"": 0.881}]",https://app.phonic.ai/play/5e90b1bce77a5fea187b494c,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b1bce77a5fea187b494c-0.mp3,0,0,1,White,24.0,female,10-25k,0
1,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,The yolk is yellow,b,Lure,A,with a look of the egg boy told the York you the, Would the yoke of the egg are white or the yoke of the egg is white?,"[{""word"": ""Would"", ""start"": 0.031, ""end"": 1.635, ""score"": 0.432}, {""word"": ""the"", ""start"": 1.755, ""end"": 1.856, ""score"": 0.751}, {""word"": ""yoke"", ""start"": 1.936, ""end"": 2.237, ""score"": 0.868}, {""word"": ""of"", ""start"": 2.397, ""end"": 2.457, ""score"": 0.944}, {""word"": ""the"", ""start"": 2.598, ""end"": 2.718, ""score"": 0.968}, {""word"": ""egg"", ""start"": 2.898, ""end"": 3.179, ""score"": 0.702}, {""word"": ""are"", ""start"": 3.199, ""end"": 3.4, ""score"": 0.513}, {""word"": ""white"", ""start"": 3.5, ""end"": 3.801, ""score"": 0.666}, {""word"": ""or"", ""start"": 4.001, ""end"": 4.182, ""score"": 0.641}, {""word"": ""the"", ""start"": 4.242, ""end"": 4.342, ""score"": 0.97}, {""word"": ""yoke"", ""start"": 4.402, ""end"": 4.703, ""score"": 0.729}, {""word"": ""of"", ""start"": 4.763, ""end"": 4.823, ""score"": 0.969}, {""word"": ""the"", ""start"": 4.924, ""end"": 5.084, ""score"": 0.86}, {""word"": ""egg"", ""start"": 5.325, ""end"": 5.545, ""score"": 0.905}, {""word"": ""is"", ""start"": 6.127, ""end"": 6.307, ""score"": 0.816}, {""word"": ""white?"", ""start"": 7.831, ""end"": 14.007, ""score"": 0.634}]",https://app.phonic.ai/play/5e90b1d1e77a5fea187b4958,/Users/lapsyde_user/Documents/Research/Rythm-of-thoughts/Data/Byrd_2023_Study_2_recordings/tzh78lgszwb9wotqxcfr/5e90b1d1e77a5fea187b4958-0.mp3,0,0,0,White,24.0,female,10-25k,0
