subject_id,question,chunk_number,chunk_text,start_time,end_time
1,1,1,Seven.,4.739,5.2
1,2,1,If you've already...,0.031,0.877
1,2,2,I've really seen you pass the person...,1.098,5.568
1,2,3,Second.,5.588,5.991
1,3,1,"It's a stormy night and plenty of suffering, do you have to get it?",0.031,3.864
1,3,2,Stormy listens and fan crushes on tears.,3.884,5.85
1,3,3,Dawn.,12.533,12.994
1,4,1,"The monkey, the squirrel or the bird?",0.031,4.825
1,4,2,You don't know.,8.215,10.682
1,5,1,And one-story pink has a pink chair.,0.031,6.405
1,5,2,One-story don't have stairs.,11.276,12.96
1,6,1,What did Moses put on the ark?,0.031,2.499
1,6,2,"No, the ark was not.",4.097,5.856
1,7,1,"The wind goes west, an electric train runs east.",1.027,5.056
1,7,2,In which cardinal direction does the smoke from the locomotive go?,5.076,10.649
1,7,3,There isn't.,10.669,11.25
1,7,4,There's a new smoke.,12.934,14.698
1,8,1,If you have only one mark when you walk in the darkroom.,0.031,10.716
1,9,1,"If I go for Montemarie, the sister of his widow.",0.031,2.686
1,9,2,Montemarie.,3.913,6.849
1,9,3,Sister.,6.869,7.915
1,10,1,Would the yoke of the egg are white,0.031,3.801
1,10,2,or the yoke of the egg is white?,4.001,14.007
2,1,1,Mary's father has five daughters but no sons.,2.714,5.22
2,1,2,"Nana, Nini.",6.042,6.924
2,1,3,"Nini, Nono.",7.986,9.028
2,1,4,"What is the fifth daughter's name, probably?",10.111,12.156
2,1,5,Nunu?,14.481,15.002
2,2,1,"If you were running a race and you passed the person in second place, what place would you be in now?",2.562,7.518
2,2,2,Second place.,11.813,12.876
2,3,1,It's a stormy night and a plane takes off from JFK Airport to New York.,2.68,6.506
2,3,2,The stormers and the plane crash halflands in the United States and the other halflands in Canada.,7.387,14.978
2,3,3,In which country do you worry the survivors?,15.88,18.123
2,3,4,I suppose it depends on the nationality of each individual survivor.,22.109,26.916
2,4,1,"A monkey, a squirrel, and a bird are racing to the top of a coconut tree.",1.87,5.394
2,4,2,"Who will get the banana first, the monkey, the squirrel, or the bird?",6.135,10.0
2,4,3,I'm not really sure.,19.372,23.777
2,4,4,I'm not sure birds eat bananas.,35.738,38.107
2,4,5,I don't really know.,41.862,42.745
2,5,1,"In a one-story pink house, there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink.",0.976,12.233
2,5,2,"What color were the stairs? Probably. If everything was pink, I imagine the stairs were probably pink.",12.573,23.71
2,5,3,"Oh wait, actually, it's a one-story house. There's no stairs.",30.372,33.733
2,6,1,How many of each animal did Moses put on the ark?,1.381,8.808
2,6,2,Two of each animal.,8.888,9.872
