subject_id,question,transcription_new,chunks
1,1, Seven.,"Chunk 1:
Seven."
1,2, Second,"Chunk 1:
Second"
1,3," It's a stormy night and plenty of stuff, I'm just gonna get it. Stormy listens to pain crashes onto you.","Chunk 1:
It's a stormy night and plenty of stuff, I'm just gonna get it.

Chunk 2:
Stormy listens to pain crashes onto you."
1,4," Who will get the banana first? The monkey, the squirrel or the bird? You don't know.","Chunk 1:
Who will get the banana first?

Chunk 2:
The monkey, the squirrel or the bird?

Chunk 3:
You don't know."
1,5," One story pink house, pink chair, pink house, pink chair, pink house, pink club with the stairs. One stories don't have stairs.","Chunk 1:
One story pink house, pink chair, pink house, pink chair, pink house, pink club with the stairs.

Chunk 2:
One stories don't have stairs."
1,6," What did Moses put on the ark? No, the ark was no.","Chunk 1:
What did Moses put on the ark?

Chunk 2:
No, the ark was no."
1,7, The wind goes west and the electric train runs east in which Cardinal Direction does the smoke from the locomotive go. There isn't. There's a new smoke.,"Chunk 1:
The wind goes west and the electric train runs east in which Cardinal Direction does the smoke from the locomotive go.

Chunk 2:
There isn't.

Chunk 3:
There's a new smoke."
1,8," If you have only one mark in your work, it's a great deal.","Chunk 1:
If you have only one mark in your work, it's a great deal."
1,9, We have to call for a man to marry the sister of his widow.,"Chunk 1:
We have to call for a man to marry the sister of his widow."
1,10, The jok of the egg is white.,"Chunk 1:
The jok of the egg is white."
2,1," Mary's father has five daughters but no sons. Nana, Nini, Nini, Nono, what is the fifth daughter's name probably? Nunu?","Chunk 1:
Mary's father has five daughters but no sons.

Chunk 2:
Nana, Nini, Nini, Nono, what is the fifth daughter's name probably?

Chunk 3:
Nunu?"
2,2," If you were running a race and you passed the person in second place, what place would you be in now? Second place.","Chunk 1:
If you were running a race and you passed the person in second place, what place would you be in now?

Chunk 2:
Second place."
2,3, It's a stormy night and a plane takes off from JFK Airport to New York. The stormers and the plane crash half-lens in the United States and the other half-lens in Canada. In which country do you bury the survivors? I suppose it depends on the nationality of each individual survivor.,"Chunk 1:
It's a stormy night and a plane takes off from JFK Airport to New York.

Chunk 2:
The stormers and the plane crash half-lens in the United States and the other half-lens in Canada.

Chunk 3:
In which country do you bury the survivors?

Chunk 4:
I suppose it depends on the nationality of each individual survivor."
