,inference,reevaluation,assumption,evaluation,pattern matching,repetition,reflection,justification,analysis,correction,hypothesis,selection,elimination,association,assuming,hypothesizing,inferring,questioning,comparison,recognition,error detection,clarification,elaboration,abstraction,recall,revision,analogizing,reframing,monitoring,analogy,hesitation,conditioning,reiteration,generalization,uncertainty,associating,justifying,sequencing,pattern recognition,confirmation,rationalizing,rationalization,prioritization,hypothesis generation,pattern completion,analyzing,consideration,confusion,knowledge retrieval,analogical reasoning,rephrasing,rehearsal,evaluating,integration
inference,1.0000001,0.66520965,0.86392033,0.7299223,0.71818614,0.70083994,0.7229233,0.7365753,0.80242664,0.7434994,0.83856404,0.7340758,0.722676,0.7047915,0.8342951,0.7833508,0.8840547,0.7038254,0.7289434,0.6979759,0.7358202,0.7247853,0.743196,0.7181928,0.66886157,0.68257344,0.7518798,0.67613775,0.7424006,0.8108648,0.70592284,0.7117702,0.71633464,0.74396384,0.77937126,0.7078835,0.7250131,0.7409534,0.7359649,0.7434691,0.71301544,0.7185928,0.6795677,0.8379354,0.67910683,0.812315,0.703147,0.703662,0.73117745,0.82294863,0.7119472,0.68734753,0.7547922,0.7247871
reevaluation,0.66520965,1.0000001,0.6816447,0.7791281,0.6305481,0.7332687,0.724281,0.73224914,0.712724,0.7213253,0.65621835,0.7269254,0.6797019,0.6490973,0.66630024,0.652781,0.66927886,0.7073257,0.70195085,0.6886196,0.6518792,0.66707295,0.71866125,0.65680754,0.74102974,0.8025784,0.6787029,0.7390653,0.699338,0.6687656,0.72452164,0.67657137,0.75869995,0.68116075,0.7208725,0.6407888,0.70029575,0.6931956,0.6470991,0.7023886,0.74502087,0.7440481,0.778234,0.6640637,0.6219915,0.7380875,0.81302536,0.6961045,0.639089,0.666534,0.7327666,0.6916758,0.78460306,0.66701776
assumption,0.86392033,0.6816447,0.9999999,0.6934881,0.70296675,0.70792377,0.7340949,0.7052049,0.7571713,0.7818041,0.817945,0.7101051,0.72981906,0.69586974,0.9206793,0.78186977,0.79806757,0.6740678,0.68365884,0.71871877,0.7211095,0.7300075,0.718813,0.69964933,0.71327674,0.7245622,0.70442796,0.7081809,0.7322844,0.7482993,0.7155005,0.7094631,0.73240805,0.7230191,0.8078281,0.6734085,0.6866667,0.7006212,0.7257376,0.7611579,0.70718145,0.71884537,0.6875047,0.77159774,0.6735062,0.755,0.727073,0.7427911,0.6807337,0.7437036,0.6950296,0.69997096,0.7184419,0.73720974
evaluation,0.7299223,0.7791281,0.6934881,1.0000001,0.66643584,0.68485695,0.7346854,0.7558325,0.78494805,0.66203946,0.6927196,0.7623589,0.7284471,0.68289775,0.697012,0.64770776,0.70707834,0.71653694,0.7708086,0.69997907,0.71417516,0.6924796,0.7463167,0.7017778,0.7253653,0.74379903,0.70012563,0.6626234,0.7615509,0.7299634,0.7207278,0.7408091,0.66172934,0.70468354,0.7186756,0.6700709,0.7195773,0.67629373,0.66873485,0.7288104,0.7133542,0.70739865,0.7160843,0.6901345,0.6709803,0.80103683,0.83850604,0.6612864,0.6776912,0.6981497,0.65915877,0.6950947,0.97568744,0.7262924
pattern matching,0.71818614,0.6305481,0.70296675,0.66643584,0.99999976,0.7298275,0.7344163,0.6528523,0.702144,0.7018614,0.7076508,0.73108506,0.6927712,0.71915674,0.68677115,0.6575428,0.73218393,0.6432726,0.7485289,0.709465,0.7293479,0.6689964,0.6748953,0.68439525,0.685271,0.6952831,0.7163904,0.6943846,0.7033831,0.74003446,0.6491276,0.67939794,0.6483615,0.7184063,0.66752505,0.73437226,0.65268296,0.77782,0.90010154,0.67184573,0.67955965,0.6786314,0.6557863,0.69951314,0.8696319,0.7144186,0.65576303,0.66758335,0.6910891,0.70265603,0.6480458,0.7175094,0.6811874,0.7000474
repetition,0.70083994,0.7332687,0.70792377,0.68485695,0.7298275,0.99999994,0.7665507,0.7160176,0.6888356,0.7177374,0.6688525,0.69098204,0.70090914,0.678901,0.6853697,0.62700284,0.69568586,0.6884821,0.72092736,0.7316404,0.6818541,0.69080263,0.70016694,0.6879346,0.7722191,0.77274287,0.7031605,0.7334345,0.69330597,0.7079671,0.699532,0.7428242,0.79213697,0.7023234,0.6718474,0.68330455,0.71931636,0.76242393,0.71156573,0.7481984,0.6881068,0.694188,0.6883219,0.669389,0.72819865,0.6859973,0.6885797,0.6813911,0.64820653,0.6850878,0.7655008,0.7309525,0.6933929,0.6720197
reflection,0.7229233,0.724281,0.7340949,0.7346854,0.7344163,0.7665507,0.99999994,0.7270831,0.7305127,0.73210734,0.6803688,0.72011256,0.7319343,0.675476,0.70218086,0.6370952,0.7344656,0.7109548,0.73799074,0.754877,0.6782607,0.68886966,0.72133577,0.70236015,0.73303175,0.7600674,0.67040336,0.7605826,0.7268995,0.6968999,0.7501565,0.710698,0.7108957,0.6697773,0.6997671,0.68922997,0.72434163,0.6679186,0.7315855,0.75017434,0.6820061,0.6726165,0.6691089,0.66419005,0.7008857,0.7393867,0.7606994,0.7233991,0.66802776,0.6675448,0.70701694,0.70477545,0.7429902,0.7219908
justification,0.7365753,0.73224914,0.7052049,0.7558325,0.6528523,0.7160176,0.7270831,1.0000001,0.71844035,0.71603405,0.7010225,0.721311,0.7117213,0.6705876,0.68329215,0.66904044,0.7151838,0.73092574,0.7011319,0.71710265,0.656934,0.74050987,0.69365185,0.7205794,0.7194995,0.72879297,0.69147146,0.7129439,0.68234676,0.73625004,0.72684485,0.7235456,0.73787886,0.7003317,0.6866472,0.6709497,0.9426035,0.69555825,0.65199727,0.75882816,0.81617874,0.80828816,0.6988377,0.67830807,0.65500224,0.7317746,0.7895192,0.73894316,0.6808051,0.75709945,0.70621216,0.663817,0.7589073,0.69517183
analysis,0.80242664,0.712724,0.7571713,0.78494805,0.702144,0.6888356,0.7305127,0.71844035,1.0000002,0.67807925,0.75705624,0.7378969,0.72858214,0.7189604,0.73424923,0.6830989,0.7667566,0.6860398,0.76177055,0.6980201,0.6975955,0.695675,0.7285062,0.70088184,0.6694032,0.67760766,0.74168354,0.64319825,0.769291,0.7797718,0.65521985,0.710268,0.66744304,0.7090001,0.7047251,0.68597466,0.70585185,0.71705526,0.70937985,0.68281525,0.7330197,0.7302601,0.7105832,0.73597723,0.6537322,0.9596011,0.768284,0.68062997,0.67772824,0.73808646,0.68052995,0.6762594,0.80159134,0.7194019
correction,0.7434994,0.7213253,0.7818041,0.66203946,0.7018614,0.7177374,0.73210734,0.71603405,0.67807925,1.0000004,0.71126765,0.67881936,0.68914145,0.6842469,0.73939776,0.639767,0.7045349,0.66100687,0.7326276,0.73798555,0.71406245,0.7673556,0.7186923,0.66205657,0.7414599,0.7948756,0.73289865,0.7261107,0.6771959,0.73735625,0.69727874,0.6975785,0.76412433,0.7018496,0.68284607,0.6835035,0.6834943,0.6896456,0.6941428,0.7633123,0.67205775,0.68338823,0.690994,0.66485244,0.6585969,0.6777978,0.7086046,0.7525589,0.6631325,0.72330344,0.8030513,0.6903579,0.6607808,0.7138725
